match_id,date_match,status,season_id,season_winner,home_team_id,home_team,away_team_id,away_team,winner,home_goals,away_goals
445473,2023-10-08T19:30:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,712,FC Arouca,Sporting Clube de Portugal,2,1
445477,2023-10-27T19:15:00Z,FINISHED,1603,,712,FC Arouca,583,Moreirense FC,Moreirense FC,0,1
445481,2023-10-28T14:30:00Z,FINISHED,1603,,5601,Portimonense SC,582,GD Estoril Praia,Portimonense SC,1,0
445474,2023-10-28T17:00:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,6618,Casa Pia AC,Draw,1,1
445482,2023-10-28T17:00:00Z,FINISHED,1603,,5543,Vitória SC,1103,GD Chaves,Vitória SC,5,0
445480,2023-10-28T19:30:00Z,FINISHED,1603,,5533,Gil Vicente FC,5613,Sporting Clube de Braga,Draw,3,3
445478,2023-10-29T15:30:00Z,FINISHED,1603,,496,Rio Ave FC,5602,SC Farense,SC Farense,3,4
445476,2023-10-29T18:00:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,5531,FC Famalicão,CF Estrela da Amadora,1,0
445479,2023-10-29T20:30:00Z,FINISHED,1603,,5589,FC Vizela,503,FC Porto,FC Porto,0,2
445475,2023-10-30T20:15:00Z,FINISHED,1603,,810,Boavista FC,498,Sporting Clube de Portugal,Sporting Clube de Portugal,0,2
445486,2023-11-03T20:15:00Z,FINISHED,1603,,503,FC Porto,582,GD Estoril Praia,GD Estoril Praia,0,1
445488,2023-11-04T15:30:00Z,FINISHED,1603,,1103,GD Chaves,1903,Sport Lisboa e Benfica,Sport Lisboa e Benfica,0,2
445484,2023-11-04T18:00:00Z,FINISHED,1603,,5531,FC Famalicão,5533,Gil Vicente FC,FC Famalicão,3,1
445490,2023-11-04T20:30:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,5601,Portimonense SC,Sporting Clube de Braga,6,1
445483,2023-11-05T15:30:00Z,FINISHED,1603,,6618,Casa Pia AC,5589,FC Vizela,FC Vizela,0,1
445485,2023-11-05T15:30:00Z,FINISHED,1603,,583,Moreirense FC,5543,Vitória SC,Moreirense FC,1,0
445487,2023-11-05T18:00:00Z,FINISHED,1603,,496,Rio Ave FC,810,Boavista FC,Rio Ave FC,2,0
445491,2023-11-05T20:30:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,9136,CF Estrela da Amadora,Sporting Clube de Portugal,3,2
445489,2023-11-06T20:15:00Z,FINISHED,1603,,5602,SC Farense,712,FC Arouca,SC Farense,2,0
445497,2023-11-10T20:15:00Z,FINISHED,1603,,582,GD Estoril Praia,6618,Casa Pia AC,GD Estoril Praia,4,0
445499,2023-11-11T15:30:00Z,FINISHED,1603,,5601,Portimonense SC,1103,GD Chaves,Portimonense SC,2,1
445494,2023-11-11T18:00:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,583,Moreirense FC,Moreirense FC,0,1
445496,2023-11-11T18:00:00Z,FINISHED,1603,,5589,FC Vizela,5531,FC Famalicão,Draw,0,0
445500,2023-11-11T20:30:00Z,FINISHED,1603,,5543,Vitória SC,503,FC Porto,FC Porto,1,2
445493,2023-11-12T15:30:00Z,FINISHED,1603,,810,Boavista FC,5602,SC Farense,SC Farense,1,3
